Hash,State,County,Population served,Water systems,Cities served,Water system per capita
Ohio Wyand,Ohio,Wyandot County,15315,0,24,638.125
Oklahoma Adair,Oklahoma,Adair County,13238,0,10,1323.8
Oklahoma Alfal,Oklahoma,Alfalfa County,4580,0,13,352.3076923
Oklahoma Atoka,Oklahoma,Atoka County,10995,0,8,1374.375
Oklahoma Beave,Oklahoma,Beaver County,3559,0,23,154.7391304
Oklahoma Beckh,Oklahoma,Beckham County,20426,0,9,2269.555556
Oklahoma Blain,Oklahoma,Blaine County,9972,0,17,586.5882353
Oklahoma Bryan,Oklahoma,Bryan County,38986,0,14,2784.714286
Oklahoma Caddo,Oklahoma,Caddo County,22918,0,34,674.0588235
Oklahoma Canad,Oklahoma,Canadian County,68217,0,17,4012.764706
Oklahoma Carte,Oklahoma,Carter County,47047,0,8,5880.875
Oklahoma Chero,Oklahoma,Cherokee County,36323,0,43,844.7209302
Oklahoma Choct,Oklahoma,Choctaw County,11561,0,12,963.4166667
Oklahoma Cimar,Oklahoma,Cimarron County,2023,0,6,337.1666667
Oklahoma Cleve,Oklahoma,Cleveland County,193643,2,71,2727.366197
Oklahoma Coman,Oklahoma,Comanche County,135554,0,27,5020.518519
Oklahoma Cotto,Oklahoma,Cotton County,6537,0,6,1089.5
Oklahoma Craig,Oklahoma,Craig County,18083,0,10,1808.3
Oklahoma Creek,Oklahoma,Creek County,66563,0,37,1799
Oklahoma Custe,Oklahoma,Custer County,23986,0,11,2180.545455
Oklahoma Delaw,Oklahoma,Delaware County,30298,0,38,797.3157895
Oklahoma Dewey,Oklahoma,Dewey County,2770,0,9,307.7777778
Oklahoma Ellis,Oklahoma,Ellis County,2569,0,7,367
Oklahoma Garfi,Oklahoma,Garfield County,62473,0,24,2603.041667
Oklahoma Garvi,Oklahoma,Garvin County,23570,0,13,1813.076923
Oklahoma Grady,Oklahoma,Grady County,35279,0,39,904.5897436
Oklahoma Grant,Oklahoma,Grant County,4223,0,10,422.3
Oklahoma Greer,Oklahoma,Greer County,5906,0,7,843.7142857
Oklahoma Harmo,Oklahoma,Harmon County,3602,0,3,1200.666667
Oklahoma Harpe,Oklahoma,Harper County,2495,0,3,831.6666667
Oklahoma Haske,Oklahoma,Haskell County,6905,0,6,1150.833333
Oklahoma Hughe,Oklahoma,Hughes County,12786,0,11,1162.363636
Oklahoma Jacks,Oklahoma,Jackson County,31975,0,11,2906.818182
Oklahoma Jeffe,Oklahoma,Jefferson County,12853,0,8,1606.625
Oklahoma Johns,Oklahoma,Johnston County,10346,0,14,739
Oklahoma Kingf,Oklahoma,Kingfisher County,10232,0,11,930.1818182
Oklahoma Kiowa,Oklahoma,Kiowa County,7821,0,10,782.1
Oklahoma Latim,Oklahoma,Latimer County,8443,0,6,1407.166667
Oklahoma Le Fl,Oklahoma,Le Flore County,47986,0,24,1999.416667
Oklahoma Linco,Oklahoma,Lincoln County,17429,0,21,829.952381
Oklahoma Logan,Oklahoma,Logan County,28277,1,34,831.6764706
Oklahoma McCla,Oklahoma,McClain County,25550,0,11,2322.727273
Oklahoma McCur,Oklahoma,McCurtain County,29453,1,16,1840.8125
Oklahoma McInt,Oklahoma,McIntosh County,21414,0,18,1189.666667
Oklahoma Major,Oklahoma,Major County,4901,0,9,544.5555556
Oklahoma Marsh,Oklahoma,Marshall County,22389,0,7,3198.428571
Oklahoma Mayes,Oklahoma,Mayes County,44731,0,25,1789.24
Oklahoma Murra,Oklahoma,Murray County,22323,0,10,2232.3
Oklahoma Musko,Oklahoma,Muskogee County,70753,0,22,3216.045455
Oklahoma Nowat,Oklahoma,Nowata County,10227,0,12,852.25
Oklahoma Okfus,Oklahoma,Okfuskee County,9463,0,6,1577.166667
Oklahoma Oklah,Oklahoma,Oklahoma County,890295,10,129,6901.511628
Oklahoma Okmul,Oklahoma,Okmulgee County,44994,0,15,2999.6
Oklahoma Osage,Oklahoma,Osage County,32957,0,37,890.7297297
Oklahoma Ottaw,Oklahoma,Ottawa County,24352,0,18,1352.888889
Oklahoma Pawne,Oklahoma,Pawnee County,13609,0,15,907.2666667
Oklahoma Payne,Oklahoma,Payne County,87706,0,24,3654.416667
Oklahoma Pitts,Oklahoma,Pittsburg County,51131,0,24,2130.458333
Oklahoma Ponto,Oklahoma,Pontotoc County,36804,0,10,3680.4
Oklahoma Potta,Oklahoma,Pottawatomie County,50275,0,32,1571.09375
Oklahoma Pushm,Oklahoma,Pushmataha County,11382,1,11,1034.727273
Oklahoma Semin,Oklahoma,Seminole County,17140,0,16,1071.25
Oklahoma Sequo,Oklahoma,Sequoyah County,39843,0,17,2343.705882
Oklahoma Steph,Oklahoma,Stephens County,38817,0,11,3528.818182
Oklahoma Texas,Oklahoma,Texas County,18873,0,19,993.3157895
Oklahoma Tillm,Oklahoma,Tillman County,8179,0,7,1168.428571
Oklahoma Tulsa,Oklahoma,Tulsa County,706898,0,16,44181.125
Oklahoma Wagon,Oklahoma,Wagoner County,61423,0,20,3071.15
Oklahoma Woods,Oklahoma,Woods County,7723,0,10,772.3
Oklahoma Woodw,Oklahoma,Woodward County,19664,0,12,1638.666667
Oregon Baker,Oregon,Baker County,13642,0,23,593.1304348
Oregon Bento,Oregon,Benton County,67002,0,45,1488.933333
Oregon Clack,Oregon,Clackamas County,368943,0,229,1611.104803
